DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,YEARS,GOOGLECONCRETETEXT,GOOGLEFOREXAMPLE,USERCONTROLGOOGLE,DOWNLOADABLEGOOGLE,ERASABLEGOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you. Your location can be determined with varying degrees of accuracy by: GPS; IP address; Sensor data from your device; Information about things near your device, such as Wi-Fi access points, cell towers, and Bluetooth-enabled devices",Partial,Partial,Unknown
IP ADDRESS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","When you’re not signed in to a Google Account, we store the information we collect with unique identifiers tied to the browser, application, or device you’re using. This helps us do things like maintain your language preferences across browsing sessions.","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
FILE INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","Examples of how we use your information to deliver our services include: ... Photos and videos you upload to Google Photos are used to help you create albums, animations, and other creations that you can share.","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,Yes,Yes
DEVICE SIGNALS,DEVICE SIGNALS,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","If you use Google’s Location services, your device sends information to Google about its location, sensors (like accelerometer), and nearby cell towers and Wi-Fi access points (like MAC address and signal strength). All these things help to determine your location.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
DEVICE SETTINGS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","When you’re not signed in to a Google Account, we store the information we collect with unique identifiers tied to the browser, application, or device you’re using. This helps us do things like maintain your language preferences across browsing sessions.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
DEVICE INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We collect information about the apps, browsers, and devices you use to access Google services, which helps us provide features like automatic product updates and dimming your screen if your battery runs low.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","When you’re not signed in to a Google Account, we store the information we collect with unique identifiers tied to the browser, application, or device you’re using. This helps us do things like maintain your language preferences across browsing sessions.",,No,No,Unknown
DEMOGRAPHICS,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.","With demographic targeting in Google Ads, you can reach a specific set of potential customers who are likely to be within a particular age range, gender, parental status, or household income.",No,No,Unknown
DATE OF BIRTH,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender",No,No,Unknown
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you. Your location can be determined with varying degrees of accuracy by: GPS; IP address; Sensor data from your device; Information about things near your device, such as Wi-Fi access points, cell towers, and Bluetooth-enabled devices",,No,Partial,Unknown
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.","For example, when you type an address in the To, Cc, or Bcc field of an email you're composing, Gmail will suggest addresses based on the people you contact most frequently.",No,Yes,Unknown
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.","Android devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.",Partial,No,Unknown
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010",,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for; Videos you watch; Views and interactions with content and ads; Voice and audio information when you use audio features; Purchase activity; People with whom you communicate or share content; Activity on third-party sites and apps that use our services; Chrome browsing history you’ve synced with your Google Account",No,Partial,Unknown
APP INFORMATION,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",Google Play uses information like apps you’ve already installed and videos you’ve watched on YouTube to suggest new apps you might like.,No,No,Unknown
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.","When you’re signed in, we also collect information that we store with your Google Account, which we treat as personal information. This is information that you provide to us which personally identifies you, such as your name, email address, or billing information, or other data that can be reasonably linked to such information by Google, such as information we associate with your Google Account.",No,Partial,Unknown
USER'S CONTACT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender; Your password and phone number",No,No,Unknown
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
SEARCHES,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","Like most websites, our servers automatically record the page requests made when you visit our sites. These “server logs” typically include your web request, Internet Protocol address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely identify your browser.",No,Partial,Yes
PURCHASE HISTORY,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","For example, when you make a purchase or transaction using Google Payments, we make certain personal information about you available to the company or individual that you purchase from or transact with. This includes sharing your personal information with the developer from whom you purchased when you use Google Payments to make a purchase on Google Play. It may also include sending a merchant website or app your zip or postcode when you initiate a payment using a 'Buy with Google Pay' or similar button, so that the merchant can calculate tax or delivery costs for your purchase. When you add a third-party payment method to your Google Payments Account, we may exchange certain personal information about you, such as your name, profile image, email, IP and billing address, phone number, device info, location and Google Account activity info, with the third-party payment provider as necessary to provide the service.",No,Yes,Unknown
PUBLIC DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","In some circumstances, Google also collects information about you from publicly accessible sources. For example, if your name appears in your local newspaper, Google’s Search engine may index that article and display it to other people if they search for your name. ",No,No,Unknown
AD INTERACTIONS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,Partial,No
CONTENT CREATED/UPLOADED,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,Partial,Unknown
ACTIVE STATUS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,Unknown
FEATURES USE,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,Unknown
USE OF OTHER PLATFORMS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,Unknown
PRODUCT USE,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,Unknown
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","If you have directly communicated with Google, through a customer support channel, feedback form, or a bug report, Google may retain reasonable records of those communications.",No,No,Unknown
PHOTOS,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,Yes,Yes
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,No,Unknown
PAYMENT CARD INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","When you add a third-party payment method to your Google Payments Account, we may exchange certain personal information about you, such as your name, profile image, email, IP and billing address, phone number, device info, location and Google Account activity info, with the third-party payment provider as necessary to provide the service.",No,No,Unknown
NON-PERSONAL DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We may also collect information about you from trusted partners, including marketing partners who provide us with information about potential customers of our business services, and security partners who provide us with information to protect against abuse. We also receive information from advertisers to provide advertising and research services on their behalf.",No,No,Unknown
NETWORK INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,Unknown
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","Your location can be determined with varying degrees of accuracy by: GPS; IP address; Sensor data from your device; Information about things near your device, such as Wi-Fi access points, cell towers, and Bluetooth-enabled devices",No,No,Unknown
LOGIN INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",,No,No,Unknown
LOCATION HISTORY,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","For example, you can turn on Location History if you want traffic predictions for your daily commute","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",Partial,Partial,Unknown
IP ADDRESS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010",,"You can choose your child's location settings. If certain location settings are turned on, you can see your child's Android device location in the Family Link app.",No,No,Unknown
DEVICE SIGNALS,DEVICE SIGNALS,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","If you use Google’s Location services, your device sends information to Google about its location, sensors (like accelerometer), and nearby cell towers and Wi-Fi access points (like MAC address and signal strength). All these things help to determine your location.",No,No,Unknown
DEVICE SETTINGS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
DEVICE INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
DEVICE IDENTIFIERS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","When you’re not signed in to a Google Account, we store the information we collect with unique identifiers tied to the browser, application, or device you’re using. This helps us do things like maintain your language preferences across browsing sessions.",No,No,Unknown
CURRENT LOCATION,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you. Your location can be determined with varying degrees of accuracy by: GPS; IP address; Sensor data from your device; Information about things near your device, such as Wi-Fi access points, cell towers, and Bluetooth-enabled devices",No,Partial,Unknown
CONTACTS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010",You can choose who can see where you are on a continuing basis and for how long using Google Location Sharing. ,,Yes,Yes,Unknown
CAMERA INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","Android devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.",Partial,No,Unknown
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010",,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for; Videos you watch; Views and interactions with content and ads; Voice and audio information when you use audio features; Purchase activity; People with whom you communicate or share content; Activity on third-party sites and apps that use our services; Chrome browsing history you’ve synced with your Google Account",No,Partial,Unknown
APP INFORMATION,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",,No,No,Unknown
ACCOUNT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,2019,2010,"2019,2010","We use information we collect, like your email address, to interact with you directly. For example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Account from an unusual location. ","When you’re signed in, we also collect information that we store with your Google Account, which we treat as personal information. This is information that you provide to us which personally identifies you, such as your name, email address, or billing information, or other data that can be reasonably linked to such information by Google, such as information we associate with your Google Account.",No,Partial,Unknown
USER'S CONTACT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender; Your password and phone number",No,No,No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
SEARCHES,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","Like most websites, our servers automatically record the page requests made when you visit our sites. These “server logs” typically include your web request, Internet Protocol address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely identify your browser.",No,Partial,No
PURCHASE HISTORY,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ",,No,Yes,No
PUBLIC DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","In some circumstances, Google also collects information about you from publicly accessible sources. For example, if your name appears in your local newspaper, Google’s Search engine may index that article and display it to other people if they search for your name. ",No,No,No
AD INTERACTIONS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,Partial,No
CONTENT CREATED/UPLOADED,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,Partial,No
ACTIVE STATUS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,No
FEATURES USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,No
USE OF OTHER PLATFORMS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,No
PRODUCT USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","And if you contact Google, we’ll keep a record of your request in order to help solve any issues you might be facing.",No,No,No
PHOTOS,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,Yes,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,No,No
PAYMENT CARD INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ",,No,No,No
NON-PERSONAL DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We may also collect information about you from trusted partners, including marketing partners who provide us with information about potential customers of our business services, and security partners who provide us with information to protect against abuse. We also receive information from advertisers to provide advertising and research services on their behalf.",No,No,No
NETWORK INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ",,No,No,No
NAME,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","When you create a Google Account, you provide us with personal information that includes your name and a password. ",No,Yes,No
LOGIN INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ",,No,No,No
LOCATION HISTORY,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",No,Partial,No
IP ADDRESS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
