DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES,APPLE_CONCRETE_TEXT,APPLE_FOR_EXAMPLE,Facebook Concrete text,Facebook For Example,AMAZON_CONCRETE_TEXT,AMAZON_FOR_EXAMPLE,GOOGLE_CONCRETE_TEXT,GOOGLE_FOR_EXAMPLE,UserControlFacebook,USER_CONTROL_GOOGLE,DOWNLOADABLE_AMAZON,DOWNLOADABLE_APPLE,DownloadableFacebook,DOWNLOADABLE_GOOGLE,ERASABLE_AMAZON,ERASABLE_APPLE,ErasableFacebook,ERASABLE_GOOGLE
PRODUCT USE,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,20,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,20,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,59,20,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,60,20,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,20,,,,,,,,,,,,,,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,62,20,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,20,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",28,21,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,21,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,21,,,,,,,,,,,,,,,,,,
BIOMETRICS,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"APPLE,FACEBOOK,GOOGLE",31,21,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,21,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,34,21,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,21,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,56,21,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,21,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE",39,21,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,21,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,21,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,21,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,21,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,21,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,21,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",49,21,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,FACEBOOK",50,21,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,21,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE",52,21,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,53,21,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,21,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,21,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,21,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,59,21,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,60,21,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,21,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,21,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE",28,22,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,22,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,22,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,22,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,34,22,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,22,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,56,22,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,22,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE",39,22,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,22,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,22,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,22,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,43,22,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,22,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,22,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,22,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE",49,22,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,22,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,22,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE",52,22,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,53,22,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,22,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,22,,,,,,,,"For example, understanding how people organized their photos in Picasa, Google’s first photos app, helped us design and launch Google Photos.",,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,22,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,59,22,,,,,,,,,,,,,Partial,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,60,22,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,22,,,,,,,,,,,,,,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,62,22,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,22,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",28,23,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,23,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,23,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,23,,,,,,,,,,,,,,,,,,
CREDIT HISTORY,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,35,23,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,23,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",56,23,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,23,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,39,23,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,23,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,23,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,23,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,43,23,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,23,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,23,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",49,23,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,APPLE,50,23,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,23,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",52,23,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,53,23,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,23,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,23,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,23,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,59,23,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,60,23,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,23,,,,,,,,,,,,,,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,62,23,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,23,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",28,24,,,"To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products. ","We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate with others. This can include information in or about the content you provide (like metadata), such as the location of a photo or the date a file was created.",,,"We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender; Your password and phone number; Emails you write and receive on Gmail; Photos and videos you save; Docs, Sheets, and Slides you create on Drive; Comments you make on YouTube; Contacts you add; Calendar events",No,No,,,Unknown,,,,Yes,Unknown
APP INFORMATION,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,24,,,"We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","Information we obtain from these devices includes: Device attributes: information such as the operating system, hardware and software versions, battery level, signal strength, available storage space, browser type, app and file names and types, and plugins.",,,And Google Play uses information like apps you’ve already installed and videos you’ve watched on YouTube to suggest new apps you might like.,"For example, we use cookies to analyze how people interact with our services. And that analysis can help us build better products. For example, it may help us discover that it’s taking people too long to complete a certain task or that they have trouble finishing steps at all. ",No,No,,,Partial,,,,Unknown,Unknown
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,24,,,"We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","Information we obtain from these devices includes: Device operations: information about operations and behaviors performed on the device, such as whether a window is foregrounded or backgrounded, or mouse movements (which can help distinguish humans from bots).",,,"We use the information we collect in existing services to help us develop new ones. For example, understanding how people organized their photos in Picasa, Google’s first photos app, helped us design and launch Google Photos.","For example, we collect information about views and interactions with ads so we can provide aggregated reports to advertisers, like telling them whether we served their ad on a page and whether the ad was likely seen by a viewer. We may also measure other interactions, such as how you move your mouse over an ad or if you interact with the page on which the ad appears.",No,No,,,No,No,,,Unknown,Unknown
BIOMETRICS,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"APPLE,FACEBOOK,GOOGLE",31,24,,,"If you turn this setting on, we’ll use your face recognition template in the following types of ways: Find photos and video you’re in so we can help you review or share content, suggest tags, and provide more relevant content and feature recommendations.","For example: If we think that you’re in a photo or video that your friend has added, we may suggest that your friend tag you. If you’d like to review photos and videos you’re tagged in before they appear on your timeline, you can turn on Timeline Review.",,,"We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.","We use the information we collect in existing services to help us develop new ones. For example, understanding how people organized their photos in Picasa, Google’s first photos app, helped us design and launch Google Photos.",Yes,No,,,Partial,,,,Yes,Unknown
CAMERA INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,24,,,"We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. ","We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate with others. This can include information in or about the content you provide (like metadata), such as the location of a photo or the date a file was created. It can also include what you see through features we provide, such as our camera, so we can do things like suggest masks and filters that you might like, or give you tips on using camera formats.",,,"We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results. For example, Security Checkup provides security tips adapted to how you use Google products.","We collect this information when a Google service on your device contacts our servers — for example, when you install an app from the Play Store or when a service checks for automatic updates. If you’re using an Android device with Google apps, your device periodically contacts Google servers to provide information about your device and connection to our services. Android devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.",Yes,No,,,No,,,,Yes,Unknown
CONTACTS' INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,24,,,"To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","We collect information about the people, Pages, accounts, hashtags and groups you are connected to and how you interact with them across our Products, such as people you communicate with the most or groups you are part of. We also collect contact information if you choose to upload, sync or import it from a device (such as an address book or call log or SMS log history), which we use for things like helping you and others find people you may know and for the other purposes listed below.",,,"We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender; Your password and phone number; Emails you write and receive on Gmail; Photos and videos you save; Docs, Sheets, and Slides you create on Drive; Comments you make on YouTube; Contacts you add; Calendar events",Yes,No,,,Yes,,,,Unknown,Unknown
CURRENT LOCATION,LOCATION FROM DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,24,,,"We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products. ","We use location-related information-such as your current location, where you live, the places you like to go, and the businesses and people you're near-to provide, personalize and improve our Products, including ads, for you and others. Location-related information can be based on things like precise device location (if you've allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins or events you attend).",,,"We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.","Google Home asks you to provide your address during setup. If you choose not to do so, Google Home will guess your approximate location based on your IP address and other signals in order to set alarms for the right time zone and provide you with relevant weather and traffic information. ",No,No,,,Partial,,,,Unkown,Unknown
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK",56,24,,,"We use the information we have to send you marketing communications, communicate with you about our Products, and let you know about our policies and terms. We also use your information to respond to you when you contact us.",,,,"We use information we collect, like your email address, to interact with you directly.","For example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Account from an unusual location. Or we may let you know about upcoming changes or improvements to our services. And if you contact Google, we’ll keep a record of your request in order to help solve any issues you might be facing.",No,No,,,Yes,No,,,Unknown,No
DATE OF BIRTH,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,24,,,"We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate with others.",,,"We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results. For example, Security Checkup provides security tips adapted to how you use Google products. And Google Play uses information like apps you’ve already installed and videos you’ve watched on YouTube to suggest new apps you might like.","We may also use payment information to verify that you meet age requirements, if, for example, you enter an incorrect birthday indicating you’re not old enough to have a Google Account.",No,No,,,Yes,,,,Unknown,Unknown
DEMOGRAPHICS,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",38,24,,,"We provide aggregated statistics and insights that help people and businesses understand how people are engaging with their posts, listings, Pages, videos and other content on and off the Facebook Products. ","For example, Page admins and Instagram business profiles receive information about the number of people or accounts who viewed, reacted to, or commented on their posts, as well as aggregate demographic and other information that helps them understand interactions with their Page or account.",,,"We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",,No,No,,,No,,,,Unknown,Unknown
DEVICE IDENTIFIERS,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",39,24,,,"We use the information we have to develop, test and improve our Products, including by conducting surveys and research, and testing and troubleshooting new products and features.","Information we obtain from these devices includes: Identifiers: unique identifiers, device IDs, and other identifiers, such as from games, apps or accounts you use, and Family Device IDs (or other identifiers unique to Facebook Company Products associated with the same device or account).",,,"We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts. Examples of how we use your information to deliver our services include: We use the IP address assigned to your device to send you the data you requested, such as loading a YouTube video; We use unique identifiers stored in cookies on your device to help us authenticate you as the person who should have access to your Google Account","On other platforms besides browsers, unique identifiers are used to recognize a specific device or app on that device. For example, a unique identifier such as the Advertising ID is used to provide relevant advertising on Android devices, and can be managed in your device’s settings. Unique identifiers may also be incorporated into a device by its manufacturer (sometimes called a universally unique ID or UUID), such as the IMEI-number of a mobile phone. For example, a device’s unique identifier can be used to customize our service to your device or analyze device issues related to our services.",No,No,,,No,,,,Unknown,Unknown
