DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,AMAZON2019,APPLE2019,FACEBOOK2019,GOOGLE2019,COMPANIES,GOOGLE2010,IN_NODES,IN_NODES,USERCONTROLFACEBOOK
FEATURES USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,18,No
USE OF OTHER PLATFORMS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,18,No
PRODUCT USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,18,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,56,18,No
PHOTOS,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,55,18,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,18,No
PAYMENT CARD INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,53,18,No
NON-PERSONAL DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,18,No
NETWORK INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,18,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,50,18,No
NAME,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,49,18,No
LOGIN INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,48,18,No
LOCATION HISTORY,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,,FACEBOOK,GOOGLE,"AMAZON,FACEBOOK,GOOGLE",GOOGLE,47,18,No
IP ADDRESS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,46,18,No
FILE INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,45,18,No
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,44,18,No
DRIVER'S LICENSE NUMBER,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",,43,18,No
DEVICE SIGNALS,DEVICE SIGNALS,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,42,18,No
DEVICE SETTINGS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,18,No
DEVICE INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,18,No
DEVICE IDENTIFIERS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,39,18,No
DEMOGRAPHICS,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,38,18,No
DATE OF BIRTH,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,37,18,No
CURRENT LOCATION,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,18,No
CREDIT HISTORY,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",,35,18,No
CONTACTS' INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,34,18,No
CAMERA INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,33,18,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,32,18,
BIOMETRICS,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,,FACEBOOK,GOOGLE,"AMAZON,FACEBOOK,GOOGLE",GOOGLE,31,18,No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,18,No
APP INFORMATION,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,18,No
ACCOUNT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,18,No
USER'S CONTACT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,19,No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,19,No
SEARCHES,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,65,19,
PURCHASE HISTORY,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,64,19,
PUBLIC DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,19,No
AD INTERACTIONS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,19,No
CONTENT CREATED/UPLOADED,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,19,No
ACTIVE STATUS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,19,No
FEATURES USE,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,19,No
USE OF OTHER PLATFORMS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,19,No
PRODUCT USE,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,19,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,56,19,
PHOTOS,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,55,19,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,19,No
PAYMENT CARD INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,,,GOOGLE,"AMAZON,GOOGLE",GOOGLE,53,19,
NON-PERSONAL DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,52,19,
NETWORK INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,19,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,50,19,No
NAME,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,,"AMAZON,APPLE,FACEBOOK",GOOGLE,49,19,No
LOGIN INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,48,19,No
LOCATION HISTORY,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,47,19,No
IP ADDRESS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,46,19,No
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,,,,GOOGLE,GOOGLE,GOOGLE,44,19,
DEVICE SIGNALS,DEVICE SIGNALS,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,42,19,No
DEVICE SETTINGS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,19,No
DEVICE INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,19,No
DEVICE IDENTIFIERS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,39,19,
DEMOGRAPHICS,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,,APPLE,,,APPLE,,38,19,
DATE OF BIRTH,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,,,,AMAZON,GOOGLE,37,19,
CURRENT LOCATION,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,19,No
CONTACTS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,,,GOOGLE,"AMAZON,GOOGLE",GOOGLE,34,19,
CAMERA INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,33,19,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,32,19,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,19,No
APP INFORMATION,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,19,No
ACCOUNT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,19,No
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,20,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,,,GOOGLE,"AMAZON,GOOGLE",,67,20,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,20,No
SEARCHES,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,20,No
PURCHASE HISTORY,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,64,20,
PUBLIC DATA,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,20,No
AD INTERACTIONS,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,20,No
CONTENT CREATED/UPLOADED,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,20,No
ACTIVE STATUS,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,20,No
FEATURES USE,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,20,No
USE OF OTHER PLATFORMS,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,20,No
PRODUCT USE,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,20,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,56,20,
PHOTOS,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,,,,GOOGLE,GOOGLE,GOOGLE,55,20,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,20,No
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,53,20,
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,20,No
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,20,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,50,20,No
NAME,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,49,20,No
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,48,20,No
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,47,20,No
IP ADDRESS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,46,20,No
FILE INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,,,,GOOGLE,GOOGLE,GOOGLE,45,20,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,,APPLE,,,APPLE,GOOGLE,44,20,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,,,,AMAZON,,43,20,
DEVICE SIGNALS,DEVICE SIGNALS,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,42,20,No
DEVICE SETTINGS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,20,No
DEVICE INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,20,No
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,39,20,
DEMOGRAPHICS,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,,APPLE,,GOOGLE,"APPLE,GOOGLE",GOOGLE,38,20,
DATE OF BIRTH,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,37,20,No
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,20,No
CREDIT HISTORY,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,,,,GOOGLE,GOOGLE,,35,20,
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,34,20,
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,33,20,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,32,20,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,20,No
APP INFORMATION,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,20,No
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,20,No
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,21,No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,21,No
SEARCHES,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,21,No
PURCHASE HISTORY,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,64,21,
PUBLIC DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,21,No
AD INTERACTIONS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,21,No
CONTENT CREATED/UPLOADED,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,21,No
ACTIVE STATUS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,21,No
FEATURES USE,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,21,No
USE OF OTHER PLATFORMS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,21,No
PRODUCT USE,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,21,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,56,21,
PHOTOS,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,,,,GOOGLE,GOOGLE,GOOGLE,55,21,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,21,No
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,53,21,
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,21,No
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,21,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,50,21,No
NAME,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,49,21,No
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,48,21,No
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,47,21,No
