DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,AMAZON2019,APPLE2019,FACEBOOK2019,GOOGLE2019,COMPANIES,GOOGLE2010,IN_NODES,IN_NODES,USERCONTROLFACEBOOK
ACCOUNT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,11,No
USER'S CONTACT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,12,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,,,,AMAZON,,67,12,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,12,No
SEARCHES,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,12,No
PURCHASE HISTORY,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,,"AMAZON,APPLE,FACEBOOK",GOOGLE,64,12,No
PUBLIC DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,12,No
AD INTERACTIONS,PRODUCT USE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,12,No
CONTENT CREATED/UPLOADED,PRODUCT USE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,12,No
ACTIVE STATUS,PRODUCT USE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,12,No
FEATURES USE,PRODUCT USE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,12,No
USE OF OTHER PLATFORMS,PRODUCT USE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,12,No
PRODUCT USE,PRODUCT USE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,12,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,56,12,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,12,No
PAYMENT CARD INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,,,"AMAZON,APPLE",GOOGLE,53,12,
NON-PERSONAL DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,12,No
NETWORK INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,12,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,50,12,No
NAME,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,49,12,No
LOGIN INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,48,12,Yes
LOCATION HISTORY,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,47,12,Partial
IP ADDRESS,DEVICE INFO,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,46,12,No
DRIVER'S LICENSE NUMBER,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,,,"AMAZON,APPLE",,43,12,
DEVICE SIGNALS,DEVICE SIGNALS,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,42,12,No
DEVICE SETTINGS,DEVICE INFO,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,12,No
DEVICE INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,12,No
DEVICE IDENTIFIERS,DEVICE INFO,ADVERTISING,ADVERTISING,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,39,12,
DEMOGRAPHICS,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,38,12,No
DATE OF BIRTH,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,37,12,Yes
CURRENT LOCATION,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,12,Partial
CREDIT HISTORY,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,,,GOOGLE,"AMAZON,GOOGLE",,35,12,
CONTACTS' INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,,APPLE,FACEBOOK,,"APPLE,FACEBOOK",GOOGLE,34,12,No
CAMERA INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,,"AMAZON,APPLE,FACEBOOK",GOOGLE,33,12,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,32,12,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,12,No
APP INFORMATION,BEHAVIOR ON DEVICE,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,12,Partial
ACCOUNT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,12,No
USER'S CONTACT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,13,No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,13,No
SEARCHES,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,13,No
PURCHASE HISTORY,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,64,13,No
PUBLIC DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,13,No
AD INTERACTIONS,PRODUCT USE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,13,No
CONTENT CREATED/UPLOADED,PRODUCT USE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,13,No
ACTIVE STATUS,PRODUCT USE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,13,No
FEATURES USE,PRODUCT USE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,13,No
USE OF OTHER PLATFORMS,PRODUCT USE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,13,No
PRODUCT USE,PRODUCT USE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,13,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ANALYTICS,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,56,13,
PHOTOS,PERSONAL DATA,ANALYTICS,ANALYTICS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,55,13,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,13,No
PAYMENT CARD INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,,"AMAZON,APPLE,FACEBOOK",GOOGLE,53,13,No
NON-PERSONAL DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,13,No
NETWORK INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,13,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,50,13,No
NAME,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,49,13,No
LOGIN INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,48,13,No
LOCATION HISTORY,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,AMAZON,,FACEBOOK,GOOGLE,"AMAZON,FACEBOOK,GOOGLE",GOOGLE,47,13,No
IP ADDRESS,DEVICE INFO,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,46,13,No
FILE INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,45,13,No
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,,APPLE,FACEBOOK,,"APPLE,FACEBOOK",GOOGLE,44,13,No
DEVICE SIGNALS,DEVICE SIGNALS,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,42,13,No
DEVICE SETTINGS,DEVICE INFO,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,13,No
DEVICE INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,13,No
DEVICE IDENTIFIERS,DEVICE INFO,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,39,13,No
DEMOGRAPHICS,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,38,13,No
DATE OF BIRTH,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,37,13,No
CURRENT LOCATION,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,13,No
CREDIT HISTORY,PERSONAL DATA,ANALYTICS,ANALYTICS,,,,GOOGLE,GOOGLE,,35,13,
CONTACTS' INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,34,13,No
CAMERA INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,33,13,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,32,13,
BIOMETRICS,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,,FACEBOOK,,"AMAZON,FACEBOOK",GOOGLE,31,13,No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,13,No
APP INFORMATION,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,13,No
ACCOUNT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,13,No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,66,14,
SEARCHES,NON-PERSONAL DATA,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,65,14,
PUBLIC DATA,NON-PERSONAL DATA,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,63,14,
AD INTERACTIONS,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,62,14,
CONTENT CREATED/UPLOADED,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,GOOGLE,61,14,
ACTIVE STATUS,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,60,14,
FEATURES USE,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,59,14,
USE OF OTHER PLATFORMS,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,58,14,
PRODUCT USE,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,GOOGLE,57,14,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,56,14,
NON-PERSONAL DATA,NON-PERSONAL DATA,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,52,14,
NETWORK INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,51,14,
DEVICE SIGNALS,DEVICE SIGNALS,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,42,14,
DEVICE SETTINGS,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,41,14,
DEVICE INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,40,14,
DEVICE IDENTIFIERS,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,39,14,
DEMOGRAPHICS,NON-PERSONAL DATA,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,38,14,
CURRENT LOCATION,LOCATION FROM DEVICE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,36,14,
CAMERA INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,33,14,
