DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES
CAMERA INFO,DEVICE INFO,ADVERTISING,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,10
CAMERA INFO,DEVICE INFO,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,24
CONTACTS' INFORMATION,PERSONAL DATA,THIRD PARTY,RESEARCH AND DEVELOPMENT,FACEBOOK,50,28
CONTACTS' INFORMATION,PERSONAL DATA,RECOGNIZE FACES,OPERATIONS,APPLE,50,21
CONTACTS' INFORMATION,PERSONAL DATA,PROVIDE SERVICES,PROVIDE BUSINESS SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,20
CONTACTS' INFORMATION,PERSONAL DATA,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,AMAZON,50,25
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,AMAZON,50,16
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS/DATA ANALYSIS,AMAZON,50,15
CONTACTS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,AMAZON,50,18
CONTACTS' INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,AMAZON,50,14
CONTACTS' INFORMATION,PERSONAL DATA,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE",50,13
CONTACTS' INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,19
CONTACTS' INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,24
CREDIT HISTORY,PERSONAL DATA,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,AMAZON,51,22
CREDIT HISTORY,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,51,26
CREDIT HISTORY,PERSONAL DATA,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE",51,13
CREDIT HISTORY,PERSONAL DATA,ADVERTISING,SAFETY AND SECURITY,AMAZON,51,10
CREDIT HISTORY,PERSONAL DATA,ACCOUNT SECURITY,RESEARCH AND DEVELOPMENT,FACEBOOK,51,24
CURRENT LOCATION,LOCATION FROM DEVICE,THIRD PARTY,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,28
CURRENT LOCATION,LOCATION FROM DEVICE,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,21
CURRENT LOCATION,LOCATION FROM DEVICE,PROVIDE SERVICES,PROVIDE BUSINESS SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,20
CURRENT LOCATION,LOCATION FROM DEVICE,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,22
CURRENT LOCATION,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,26
CURRENT LOCATION,LOCATION FROM DEVICE,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,25
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,16
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE CONTENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,15
CURRENT LOCATION,LOCATION FROM DEVICE,OTHER,LOCATION-BASED SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,11
CURRENT LOCATION,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,18
CURRENT LOCATION,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,14
CURRENT LOCATION,LOCATION FROM DEVICE,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,13
CURRENT LOCATION,LOCATION FROM DEVICE,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,19
CURRENT LOCATION,LOCATION FROM DEVICE,ANYONE,ANY PURPOSE,APPLE,41,27
CURRENT LOCATION,LOCATION FROM DEVICE,ANY PURPOSE,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,17
CURRENT LOCATION,LOCATION FROM DEVICE,ANALYTICS,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,12
CURRENT LOCATION,LOCATION FROM DEVICE,ADVERTISING,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,10
CURRENT LOCATION,LOCATION FROM DEVICE,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,24
DATE OF BIRTH,PERSONAL DATA,THIRD PARTY,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,28
DATE OF BIRTH,PERSONAL DATA,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,21
DATE OF BIRTH,PERSONAL DATA,PROVIDE SERVICES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,20
DATE OF BIRTH,PERSONAL DATA,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,22
DATE OF BIRTH,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,26
