DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,USERCONTROLFACEBOOK
DEMOGRAPHICS,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SETTINGS,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,AMAZON,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"FACEBOOK,GOOGLE",
FILE INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"FACEBOOK,GOOGLE",
IP ADDRESS,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOCATION HISTORY,LOCATION FROM DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOGIN INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,FACEBOOK,GOOGLE",
NAME,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NETWORK INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NON-PERSONAL DATA,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PAYMENT CARD INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,FACEBOOK,GOOGLE",
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PHOTOS,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"FACEBOOK,GOOGLE",
PRODUCT USE,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PUBLIC DATA,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PURCHASE HISTORY,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
SOCIAL SECURITY NUMBER,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,GOOGLE",
USER'S CONTACT INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
ACCOUNT INFORMATION,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CAMERA INFORMATION,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,AMAZON,
DEVICE INFORMATION,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SETTINGS,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NAME,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,FACEBOOK,
NETWORK INFORMATION,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NON-PERSONAL DATA,NON-PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,FACEBOOK,
PRODUCT USE,PRODUCT USE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PUBLIC DATA,NON-PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,APPLE,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",
ACCOUNT INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
APP INFORMATION,BEHAVIOR ON DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CAMERA INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CONTACTS' INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"FACEBOOK,GOOGLE",
CREDIT HISTORY,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,GOOGLE",
CURRENT LOCATION,LOCATION FROM DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DATE OF BIRTH,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEMOGRAPHICS,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,FACEBOOK,GOOGLE",
DEVICE INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SETTINGS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DRIVER'S LICENSE NUMBER,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,AMAZON,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,
FILE INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"FACEBOOK,GOOGLE",
IP ADDRESS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOCATION HISTORY,LOCATION FROM DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOGIN INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",Yes
NAME,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"APPLE,FACEBOOK,GOOGLE",
NETWORK INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NON-PERSONAL DATA,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PAYMENT CARD INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,FACEBOOK,GOOGLE",
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PHOTOS,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"FACEBOOK,GOOGLE",
PRODUCT USE,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PUBLIC DATA,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,FACEBOOK,GOOGLE",Yes
PURCHASE HISTORY,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,FACEBOOK",
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON.FACEBOOK,GOOGLE",
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
SOCIAL SECURITY NUMBER,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,GOOGLE",
USER'S CONTACT INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
ACCOUNT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
APP INFORMATION,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CAMERA INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CONTACTS' INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"FACEBOOK,GOOGLE",
CURRENT LOCATION,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DATE OF BIRTH,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEMOGRAPHICS,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SETTINGS,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DRIVER'S LICENSE NUMBER,PERSONAL DATA,THIRD PARTY,THIRD PARTY,AMAZON,
IP ADDRESS,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOCATION HISTORY,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NAME,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,"APPLE,FACEBOOK,GOOGLE",
NETWORK INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NON-PERSONAL DATA,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PRODUCT USE,PRODUCT USE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PUBLIC DATA,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",Yes
PURCHASE HISTORY,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
SOCIAL SECURITY NUMBER,PERSONAL DATA,THIRD PARTY,THIRD PARTY,GOOGLE,
USER'S CONTACT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
